시도,주소,학교명,상태,위도,경도
부산,부산광역시 연제구 교대로24번길 36(거제동.거학초등학교),거학초등학교,1,35.19715139,129.0771707
광주,광주광역시 북구 첨단연신로108번길 86. 건국초등학교 (신용동),건국초등학교,1,35.21049164,126.8658288
경기,경기도 구리시 인창동514,건원초등학교,1,37.60725866,127.1356122
경북,경상북도 경주시 건천읍 내서로1105,건천초등학교,1,35.85070944,129.1030567
경기,경기도 김포시 걸포로22(걸포동1565)걸포초등학교,걸포초등학교,1,37.63340195,126.7075678
경기,경기도 시흥시 은행동258-1,검바위초등학교,1,37.43250114,126.7991843
경기,경기도 파주시 검산로10,검산초등학교,1,37.77605672,126.739166
울산,울산시 남구 문수로344번길 4,격동초등학교,1,35.53395644,129.2901838
전북,전북 부안군 변산면격포리 271-53,격포초등학교,1,35.62594095,126.4742745
충남,충청남도 홍성군 결성면 홍남서로738번길 30(결성면.결성초등학교),결성초등학교,1,36.52443044,126.5444961
서울,서울특별시 서대문구 충정로2가70번지,경기초등학교,1,37.5653087,126.9637707
충북,충청북도 청주시 흥덕구 장구봉로36(가경동 1504),경덕초등학교,1,36.62121307,127.4381189
서울,서울특별시 광진구 천호대로130길 58. 경복초등학교 (능동),경복초등학교,1,37.55039749,127.0873368
대구,대구광역시 중구 봉산동162 (중구 달구벌대로 2150),경북대학교사범대학부설초등학교,1,35.8638236,128.5981285
경북,경상북도 경산시 원효로28길 60-6(계양동.동부초등학교),경산동부초등학교,1,35.81784741,128.7487573
경북,경상북도 경산시 옥산동736-1번지,경산서부초등학교,1,35.82701722,128.7290854
경북,경상북도 경산시 압량면 압독2로 38(압량면),경산압량초등학교,1,35.84029279,128.7664879
경북,경상북도 경산시중앙초등길 9,경산중앙초등학교,1,35.82297367,128.7315381
충북,충청북도 청주시 흥덕구경산로 82-12,경산초등학교,1,36.62515053,127.4406947
경기,경기도 안산시 상록구 성포동594-3,경수초등학교,1,37.32699176,126.8506089
경기,경기도 광주시 경안로 163. 경안초등학교 (경안동),경안초등학교,1,37.4113719,127.2475909
광주,광주광역시 북구 북문대로98번길 20. 경양초등학교 (운암동),경양초등학교,1,35.18032773,126.8785256
경남,김해시 우암로 73번길 8(내동)경운초등학교,경운초등학교,1,35.23815374,128.8609997
경기,경기도 의정부시 의정부3동366번지,경의초등학교,1,37.73381952,127.0510182
인천,인천광역시 계양구 효성동산19-1(안남로 656번지),경인교육대학교부설초등학교,1,37.5377326,126.7125311
경기,경기도 안산시 상록구 성포로 47(성포동.경일초등학교),경일초등학교,1,37.32383797,126.8476455
경북,경상북도 경주시 충효2길 20(충효동.경주초등학교),경주초등학교,1,35.84238673,129.1896159
경북,경상북도 경주시 건천읍 화천리 1328-1,경주초화천분교장,0,35.79693767,129.1379687
충남,충청남도 공주시 계룡면신원사로 112(경천리 371-1),경천초등학교,1,36.32427093,127.1496462
강원,강원도 강릉시 안현동106-6번지(민미마을길 21),경포대초등학교,1,37.80492404,128.9005397
강원,강원도 강릉시 솔올로 90. 경포초등학교 (교동),경포초등학교,1,37.76979728,128.8797349
전남,전라남도 여수시 대경도4길 48경호초등학교 (경호동),경호초등학교,1,34.71660085,127.7279351
전남,전라남도 여수시 소경도1길40-5,경호초등학교소경분교장,1,34.70643058,127.7075438
경남,경상남도 창원시 진해구 경화로38번길 5(경화동.경화초등학교),경화초등학교,1,35.15731388,128.6869367
전남,전라남도 해남군 계곡면성진리 231-1,계곡초등학교,1,34.64620277,126.6565864
전북,전북 장수군 계남면 화음리971번지,계남초등학교,1,35.70196956,127.5782003
경남,경상남도 김해시 장유면 대청리333-1,계동초등학교,1,35.18475833,128.7952135
충남,충청남도 공주시 계룡면 유평리286번지,계룡초등학교,1,36.35758884,127.1412335
전북,전북 장수군 계북면 어전리742번지,계북초등학교,1,35.78698756,127.617246
전남,전라남도 강진군 군동면호계리 709-1,계산초등학교,1,34.64558265,126.7859819
충남,충청남도 당진시 읍내동13,계성초등학교,1,36.89862794,126.6386441
광주,광주광역시 서구 치평동1166-6,계수초등학교,1,35.15589497,126.8448725
강원,강원도 평창군 방림면 계촌리1478-2,계촌초등학교,1,37.45258973,128.3043767
강원,강원도 평창군 방림면 계촌2리519 번지,계촌초등학교대미분교장,1,37.46477723,128.3590999
전북,전북 부안군 계화면계화리 233,계화초등학교,1,35.78556496,126.638109
경기,경기도 부천시 오정구 역곡로482번길 57. 고강초등학교 (고강동),고강초등학교,1,37.52688417,126.8196932
경북,경상북도 영천시 고경면 호국로1276,고경초등학교,1,36.00307251,129.0683383
전남,전라남도 완도군 고금면덕암리 644,고금초등학교,1,34.39700771,126.8001367
경기,경기도 용인시 수지구 고기로 385고기초등학교,고기초등학교,1,37.35881629,127.0661146
충남,충청남도 태안군 고남면 안면대로 4189(고남면.고남 초등학교),고남초등학교,1,36.4263912,126.4042663
전남,전라남도 곡성군 고달면목동리 730,고달초등학교,1,35.29634545,127.3417885
충남,충청남도 예산군 고덕면 황금뜰로203,고덕초등학교,0,36.74752082,126.7027766
경북,경상북도 고령군 대가야읍 왕정길 10(대가야읍),고령초등학교,1,35.73429587,128.26899
경기,경기도 부천시 오정구 고리울로 93. 고리울초등학교 (고강동),고리울초등학교,1,37.52707193,126.8271639
경기,경기도 용인시 처인구한터로 152번길 22,고림초등학교,1,37.24720175,127.2272653
경북,경상북도 군위군 효령면 용매로970,고매초등학교,1,36.09704434,128.5825154
경기,경기도 고양시 일산동구 중산로 280고봉초등학교,고봉초등학교,1,37.69621078,126.7825103
전북,전북 완주군 고산면 소향리318-1,고산동초등학교,1,35.9885291,127.2570194
충남,충청남도 당진시 고대면 장항리1050-2,고산초등학교,1,36.9572345,126.572391
경기,경기도 안성시 고삼면 고삼호수로 37(고삼면.고삼초등학교),고삼초등학교,1,37.08238621,127.2645879
경기,경기도 수원시 권선구 매송고색로 681. 고색초등학교 (고색동),고색초등학교,1,37.25136814,126.978949
전남,전라남도 담양군 고서면원등1길 7,고서초등학교,1,35.22430336,126.9738616
충남,충남 서산시 팔봉면 진장리806-5,고성초등학교,0,36.77534184,126.356059
전남,전라남도 진도군 고군면고성리 64-1,고성초등학교,1,34.49824377,126.3218926
전북,전북 고창군 고수면 황산리215,고수초등학교,1,35.40423003,126.6859081
광주,광주광역시 광산구 풍영로 300(장덕동),고실초등학교,1,35.19816835,126.816365
경북,경상북도 구미시 고아읍 관심리541 번지,고아초등학교,1,36.21202437,128.3293243
경기,경기도 고양시 덕양구 통일로726번길 130. 고양관산초등학교 (관산동),고양관산초등학교,1,37.69202178,126.8663878
경기,경기도 고양시 일산동구 백석동강촌로 140,고양백석초등학교,1,37.65187313,126.7891669
경기,경기도 고양시 일산서구 일산3동1075번지,고양신일초등학교,1,37.67923914,126.7706434
경기,경기도 고양시 덕양구 오금1로 10. 고양오금초등학교 (오금동),고양오금초등학교,1,37.66182127,126.8952063
경기,경기도 고양시 덕양구 화신로 21(행신동.고양용현초등학교),고양용현초등학교,1,37.61488407,126.8382101
경기,경기도 고양시 덕양구 혜음로13번길 22-7. 고양초등학교 (고양동),고양초등학교,1,37.70278015,126.8998433
경기,경기도 고양시 일산서구 대화동882,고양한내초등학교,1,37.66854903,126.735757
경기,경기도 고양시 덕양구 화정동860번지,고양화수초등학교,1,37.64509903,126.8326967
경기,경기도 고양시 덕양구 화정동942번지,고양화정초등학교,1,37.63365777,126.8260744
세종,세종특별자치시  만남로 45(고운동),고운초등학교,1,36.50418752,127.2366477
경기,경기도 안산시 단원구 적금로 182. 고잔초등학교 (고잔동.고잔초등학교),고잔초등학교,1,37.32429648,126.8272277
경남,경상남도 하동군 고전면 하동읍성로371,고전초등학교,1,35.02499252,127.8182248
경기,경기도 화성시 송산면공룡로 326(고정리 1103번지),고정초등학교,1,37.23800811,126.7381284
경남,경상남도 거창군 고제면 궁항리333,고제초등학교,1,35.83049267,127.886347
전북,전북 고창군 고창읍 읍내리542-2,고창남초등학교,1,35.42956198,126.6977337
경기,경기도 의왕시 효행로 10. 고천초등학교 (고천동),고천초등학교,1,37.34857127,126.9752967
경기,경기도 김포시 고촌읍신곡리 1101(신곡로 29번길 30),고촌초등학교,1,37.60599841,126.7735094
강원,강원도 정선군 고한읍 고한리74,고한초등학교,1,37.20293005,128.8532315
전남,전라남도 고흥군 고흥읍호형리 1229,고흥동초등학교,1,34.60558883,127.2917617
경북,경상북도 포항시 북구 흥해읍 칠포로7(용천리1202번지),곡강초등학교,1,36.13033704,129.3486351
경기,경기도 군포시 산본2동1058번지,곡란초등학교,1,37.3739174,126.9337141
경기,경기도 수원시 권선구 덕영대로1323번길 26-14. 곡반초등학교 (권선동. 곡반초등학교),곡반초등학교,1,37.24672591,127.0361799
경기,경기도 수원시 권선구 덕영대로1217번길 36(권선동.곡선초등학교),곡선초등학교,1,37.25049511,127.0252618
전남,전라남도 곡성군 곡성읍학교로 103,곡성중앙초등학교,1,35.28423686,127.2915375
경기,경기도 양평군 지평면 곡수리387-1,곡수초등학교,1,37.41824734,127.6118013
경남,경상남도 사천시 곤명면  봉명로493(봉계리 848-3),곤명초등학교(통폐합),0,35.10965944,127.9383596
경기,경기도 광주시 실촌읍 곤지암리453-2,곤지암초등학교,1,37.34947151,127.3379488
전남,전라남도 광양시 황길동827,골약초등학교,1,34.9103081,127.660491
전북,전북 부안군 진서면 진서리1047,곰소초등학교,1,35.59567144,126.5997878
경북,경상북도 상주시 공검면 부곡리9-1,공검초등학교,1,36.51553583,128.1544294
강원,강원도 횡성군 공근면 초원리 134-1,공근초광덕분교장,0,37.52857007,127.9264878
강원,횡성군 공근면 초학로15번지,공근초등학교광덕분교장,1,37.52906569,127.9267066
경기,경기도 안성시 공도읍공도1로 9,공도초등학교,1,36.99975055,127.1675774
경기,경기도 용인시 기흥구 탑실로86-10,공세초등학교,1,37.23895402,127.1164536
전북,전북 고창군 공음면 칠암리519,공음초등학교,1,35.37668263,126.5113363
충남,충청남도 공주시 하선길 47(금학동.공주교육대학교부설초등학교),공주교육대학교부설초등학교,1,36.44201436,127.1179238
충남,충청남도 공주시 중학동137-2 (공주고담길19),공주금학초등학교,1,36.44758363,127.1249461
충남,충청남도 공주시 오거리길 5(봉황동.공주봉황초등학교),공주봉황초등학교,1,36.44937912,127.1210939
충남,충청남도 공주시 중동244-3,공주중동초등학교,1,36.45346979,127.125192
전남,전라남도 고흥군 과역면과역리 과역로 815,과역초등학교,1,34.68052496,127.3574091
부산,부산광역시 연제구 연산9동   473-1과정초등학교,과정초등학교,1,35.18671584,129.1099058
경기,경기도 과천시중앙동 75번지(온온사로10),과천초등학교,1,37.43665407,126.9941243
제주,제주특별자치도 제주시 애월읍 일주서로 6000(애월읍.곽금초등학교),곽금초등학교,1,33.44696898,126.307387
충북,충청북도 보은군 마로면 관기송현로109,관기초등학교,1,36.43592942,127.8215621
충남,충청남도 보령시 웅천읍 죽청리121-4,관당초등학교,1,36.24597582,126.55763
